year,naics,y_w
2008,11,4.30035046728972
2008,111,5.653795192125687
2008,113,2.118400976502899
2008,21,6.251693739937192
2008,211,11.692662130738093
2008,212,4.258600319688651
2008,213,2.363495222929936
2008,22,5.027688211187618
2008,23,1.7811275074936592
2008,31-33,2.433763727427285
2008,33,2.0372428549594988
2008,321,1.5374737473747375
2008,327,2.0119154676258995
2008,331,2.6274434941967013
2008,332,1.7885925428283507
2008,333,1.9088615304302432
2008,334,2.1895772601628316
2008,335,2.408039241220645
2008,3361,1.8368446740147233
2008,3364,2.1503896347760776
2008,337,1.5404059959068532
2008,339,2.309927212673558
2008,31-33,3.2145399390892275
2008,311,2.884583067740627
2008,313,1.6556844547563805
2008,315,1.401113531832486
2008,322,2.0516291327264016
2008,323,1.7141881638846737
2008,324,14.2370820668693
2008,325,3.9747203210878648
2008,326,1.744932590217019
2008,42,2.349281788210541
2008,44-45,2.0478324236413736
2008,48-49,2.0611034649281663
2008,481,2.352312801725614
2008,482,2.3442674557703205
2008,483,3.408590993982154
2008,484,1.9804166598155122
2008,485,2.2781333549380216
2008,486,4.006392918613228
2008,487,1.7702150013132716
2008,493,1.6979764988549761
2008,51,3.4704829970104636
2008,511,2.6071354691012396
2008,512,3.552981017734605
2008,513,4.1711460176048085
2008,514,3.272845901380047
2008,52,1.688381895168307
2008,521,2.436132993788229
2008,523,0.4938794525242573
2008,524,2.1572547759681684
2008,525,41.45101663585952
2008,53,19.746817716280333
2008,531,24.606474158014322
2008,532,6.823045739635918
2008,54,1.8109500276963808
2008,5411,2.517562491498645
2008,5415,1.3940712495579575
2008,5412,1.7751659715892132
2008,55,1.3884641209469557
2008,56,1.6444236963377092
2008,561,1.6173931252214813
2008,562,2.009965691880412
2008,61,1.544991620471832
2008,62,1.4984235355824225
2008,621,1.5954150354986398
2008,622,1.4126464464012443
2008,624,1.4662136719953445
2008,71,2.052361499319143
2008,711,2.2782579508265504
2008,713,1.8149291468218969
2008,72,1.8363821885571407
2008,721,2.1785550418240214
2008,722,1.7158767448509031
2008,81,1.6163619278806625
2009,11,3.86005346005346
2009,111,4.829359688978406
2009,113,2.180504829153478
2009,21,5.018119303607488
2009,211,7.977896728346638
2009,212,4.628975265017668
2009,213,2.0694104115617344
2009,22,5.292257562095254
2009,23,1.8426424215573856
2009,31-33,2.5768840645532443
2009,33,2.0646926612277614
2009,321,1.6186770428015564
2009,327,2.1022284725227176
2009,331,2.035171902052931
2009,332,1.8719114386435054
2009,333,1.9927583715577062
2009,334,2.2835021028132783
2009,335,2.472697994437125
2009,3361,1.276804316469897
2009,3364,2.272734309987808
2009,337,1.5781865965834427
2009,339,2.655632814285248
2009,31-33,3.5113806919494914
2009,311,3.487929365521692
2009,313,1.6936513268390998
2009,315,1.4148158762000287
2009,322,2.552823118997373
2009,323,1.7434713795832235
2009,324,10.460942665533201
2009,325,4.428858946980289
2009,326,2.1476820250284416
2009,42,2.3882160955080307
2009,44-45,2.103234807535432
2009,48-49,2.10187681486907
2009,481,2.63980117820324
2009,482,2.258715344496294
2009,483,3.3848320693391116
2009,484,2.0323263064133017
2009,485,2.379215527699151
2009,486,3.5044290160402203
2009,487,1.7175656707439342
2009,493,1.7464810518174787
2009,51,3.5704775658779773
2009,511,2.640780147091466
2009,512,3.8523477365291887
2009,513,4.235077451501011
2009,514,3.4889885642704166
2009,52,2.0773423194959038
2009,521,2.534224904701398
2009,523,1.2430200839729362
2009,524,2.3182952946990913
2009,525,30.96692607003891
2009,53,21.707816157579217
2009,531,27.18316754254254
2009,532,6.898726680485638
2009,54,1.7958294515598199
2009,5411,2.2930686006420165
2009,5415,1.4813144936172882
2009,5412,1.7791887344302282
2009,55,1.413382170564993
2009,56,1.7016227858442572
2009,561,1.6651913135244167
2009,562,2.161615025586234
2009,61,1.6541011971156803
2009,62,1.5242681009679557
2009,621,1.6109925700133358
2009,622,1.4545367126037492
2009,624,1.4560838835982348
2009,71,2.1559937990042632
2009,711,2.441442996461552
2009,713,1.8490332559938127
2009,72,1.8580737695121077
2009,721,2.0773053348028694
2009,722,1.7860803953076274
2009,81,1.643795275035616
2010,11,4.3481840337633
2010,111,5.796816479400749
2010,113,2.1469222704807547
2010,21,5.1843100028816975
2010,211,8.134013957094856
2010,212,4.991883350093377
2010,213,2.174086105137942
2010,22,5.699856909239575
2010,23,1.842974162437617
2010,31-33,2.668828053875274
2010,33,2.207362881609277
2010,321,1.8321408915795268
2010,327,2.1215222080867306
2010,331,2.3631212261960055
2010,332,1.8665286232504554
2010,333,2.081375179997382
2010,334,2.314584077287599
2010,335,2.4311055710039313
2010,3361,2.30032678043467
2010,3364,2.353847054690245
2010,337,1.58132966396292
2010,339,2.668112449799197
2010,31-33,3.5213772804546952
2010,311,3.1982573303906676
2010,313,1.7307949231796926
2010,315,1.520866891199297
2010,322,2.392030247674073
2010,323,1.8246158118866878
2010,324,11.666950193743503
2010,325,4.602755767797667
2010,326,2.1010238443484472
2010,42,2.5061462121852887
2010,44-45,2.1353522232281006
2010,48-49,2.2153238554685304
2010,481,3.0188280017214173
2010,482,2.3661378632598624
2010,483,3.12291933418694
2010,484,2.079559834938102
2010,485,2.4901524777636594
2010,486,4.504235399019171
2010,487,1.7818257048844404
2010,493,1.7160184023421163
2010,51,3.689257623100959
2010,511,2.7163341283229596
2010,512,3.9936872561483496
2010,513,4.32625792518853
2010,514,3.8735826574931775
2010,52,2.0673486329432555
2010,521,2.6205047476888725
2010,523,1.202346633370669
2010,524,2.2984303522767906
2010,525,38.623831775700936
2010,53,22.041654354101787
2010,531,27.509028228673902
2010,532,6.863004291845494
2010,54,1.8002731163181078
2010,5411,2.205257934367516
2010,5415,1.484379803539797
2010,5412,1.815800752680144
2010,55,1.4251545240230483
2010,56,1.7148976696426472
2010,561,1.6500338638672536
2010,562,2.5250608015226814
2010,61,1.6750840191032907
2010,62,1.5232428299955747
2010,621,1.6123093906566546
2010,622,1.4522924778302515
2010,624,1.436632806742077
2010,71,2.234851153778404
2010,711,2.4772971141356526
2010,713,1.9723631916845001
2010,72,1.8827780551188082
2010,721,2.1323034188847245
2010,722,1.8017072989813074
2010,81,1.6468603448449002
2011,11,5.424823864488083
2011,111,7.87915955079439
2011,113,2.045039908779932
2011,21,5.13326034028208
2011,211,8.352251838235293
2011,212,4.991307189542484
2011,213,2.2090282489911073
2011,22,5.632585480552562
2011,23,1.8134855317029988
2011,31-33,2.645817277178348
2011,33,2.1784071206633135
2011,321,1.8461538461538463
2011,327,2.123223267001968
2011,331,2.5933230909770377
2011,332,1.841960432175651
2011,333,2.126085292992318
2011,334,2.1827595729013254
2011,335,2.1612628368985156
2011,3361,2.474059123827615
2011,3364,2.316425870792161
2011,337,1.5773818077309958
2011,339,2.499875474752506
2011,31-33,3.554050335234664
2011,311,2.9509501036861483
2011,313,1.652756424335603
2011,315,1.516858983965233
2011,322,2.270263413809141
2011,323,1.8145890956823403
2011,324,14.043883805632051
2011,325,4.576715045524204
2011,326,2.071487371991175
2011,42,2.499804808659009
2011,44-45,2.122026011448152
2011,48-49,2.1769976370738293
2011,481,2.826682250793121
2011,482,2.308194022289767
2011,483,2.8469945355191255
2011,484,2.081795323537964
2011,485,2.5555805411888164
2011,486,4.4666943349242585
2011,487,1.7800072066604715
2011,493,1.6495116866015582
2011,51,3.554043687730951
2011,511,2.6530411900249513
2011,512,3.582731381742914
2011,513,4.149570518777055
2011,514,4.004451766685362
2011,52,1.9991388078138579
2011,521,2.7070533987803063
2011,523,1.0073072283566855
2011,524,2.23078977002287
2011,525,28.611842105263158
2011,53,21.960174873847226
2011,531,27.572527472527472
2011,532,6.604688960221039
2011,54,1.7955093027971458
2011,5411,2.2749176450713744
2011,5415,1.4930005519754737
2011,5412,1.7957275808160824
2011,55,1.3808395429706906
2011,56,1.6781638927483962
2011,561,1.6404921958741936
2011,562,2.159062007223155
2011,61,1.657373594375895
2011,62,1.5214347777713024
2011,621,1.615376329372993
2011,622,1.4480517991550248
2011,624,1.4150162908068742
2011,71,2.262602009461333
2011,711,2.548558234146073
2011,713,1.9529607907350621
2011,72,1.8689825973509056
2011,721,2.1992634581362602
2011,722,1.761826382380506
2011,81,1.6211993633766348
2012,11,4.634261529329789
2012,111,6.272172155310368
2012,113,2.041858295007665
2012,21,4.663529901087903
2012,211,7.653817211656861
2012,212,4.269844320584278
2012,213,2.1308425775894304
2012,22,5.309493070058857
2012,23,1.8170681656252976
2012,31-33,2.6273404384406573
2012,33,2.180664441591784
2012,321,1.9384974405299609
2012,327,2.2472022804054053
2012,331,2.584793244949495
2012,332,1.8559830615905382
2012,333,2.119093941078377
2012,334,2.183108310558668
2012,335,2.2356912491937218
2012,3361,2.544698223546287
2012,3364,2.2355093599193934
2012,337,1.5645792563600782
2012,339,2.4153722549544723
2012,31-33,3.5092786348078575
2012,311,2.988917213081233
2012,313,1.738978611959843
2012,315,1.5136281041792852
2012,322,2.2359147499472463
2012,323,1.8169541319181197
2012,324,13.246184806305552
2012,325,4.383366084845683
2012,326,2.1405962575325086
2012,42,2.534923559836826
2012,44-45,2.1298747277326964
2012,48-49,2.1498198481349386
2012,481,2.845580611715915
2012,482,2.2864980364980365
2012,483,2.5430399379604496
2012,484,2.0579838281865386
2012,485,2.606071479833501
2012,486,4.420010513404591
2012,487,1.7170690155139916
2012,493,1.6153898886032563
2012,51,3.38420515198673
2012,511,2.5814412635735438
2012,512,3.305372894947875
2012,513,4.126465083114221
2012,514,3.3195843629221313
2012,52,2.1662558846158864
2012,521,2.8346803250518287
2012,523,1.342406488890425
2012,524,2.22252248795435
2012,525,36.03899721448468
2012,53,21.360090809137922
2012,531,26.72947497015298
2012,532,6.594181873711537
2012,54,1.7655879316363745
2012,5411,2.217484292175764
2012,5415,1.4878681717918776
2012,5412,1.772802416424195
2012,55,1.3670270514792364
2012,56,1.6448626999111506
2012,561,1.609836041094254
2012,562,2.1080667456556084
2012,61,1.652844215358222
2012,62,1.5094476358145077
2012,621,1.5914552255372048
2012,622,1.4535390129155386
2012,624,1.3747743359027997
2012,71,2.3195703119708484
2012,711,2.6416692732770306
2012,713,1.9710917449304792
2012,72,1.862206630067393
2012,721,2.228624406474197
2012,722,1.7472977158974192
2012,81,1.620786660767099
2013,11,5.432945267614151
2013,111,7.7676287445304615
2013,113,1.9464689620507665
2013,21,4.856742561318858
2013,211,8.381102569156974
2013,212,4.052497717490544
2013,213,2.048799242872353
2013,22,5.36991542111284
2013,23,1.8237698811785301
2013,31-33,2.66963664654961
2013,33,2.2281819891337094
2013,321,2.147941922751621
2013,327,2.400631879331431
2013,331,2.4789147040101844
2013,332,1.883065427519179
2013,333,2.1864528614874206
2013,334,2.2496681415929203
2013,335,2.4124183278538434
2013,3361,2.584517568790922
2013,3364,2.266537230056543
2013,337,1.619931178732879
2013,339,2.3298753984352363
2013,31-33,3.5374638280281108
2013,311,3.0580120506179633
2013,313,1.7912922550278134
2013,315,1.5589986261639444
2013,322,2.3477717096760746
2013,323,1.8403440778901599
2013,324,12.563882166402403
2013,325,4.4801040603102225
2013,326,2.1203049117845945
2013,42,2.5879652438751286
2013,44-45,2.174089560167799
2013,48-49,2.1658360823469227
2013,481,2.838895594447797
2013,482,2.4604715672676836
2013,483,3.094215187488223
2013,484,2.02893875715327
2013,485,2.6455554779694155
2013,486,5.247173489278753
2013,487,1.6965532935389571
2013,493,1.540917838155191
2013,51,3.467534531946757
2013,511,2.468322470788562
2013,512,3.3916267256564665
2013,513,4.448417975404161
2013,514,3.40762676641729
2013,52,2.0991670684954613
2013,521,2.6655725962078165
2013,523,1.4465494146095368
2013,524,2.0722282139775667
2013,525,27.008602150537634
2013,53,21.27290309346826
2013,531,26.34952661393617
2013,532,6.844554529760565
2013,54,1.7455870096817852
2013,5411,2.214572645680924
2013,5415,1.4715047742203646
2013,5412,1.748270200818502
2013,55,1.3806833886124932
2013,56,1.6393170071128333
2013,561,1.604823847848309
2013,562,2.106651711694138
2013,61,1.6273319813516325
2013,62,1.5111517996485493
2013,621,1.5947117270582671
2013,622,1.4519907467744038
2013,624,1.3841220457398613
2013,71,2.3261781752379953
2013,711,2.639143421252468
2013,713,1.9897434502271676
2013,72,1.863290741104777
2013,721,2.277435265104809
2013,722,1.7353964268071793
2013,81,1.610161295425067
2014,11,4.900480288660799
2014,111,6.954545454545454
2014,113,1.9511847496882238
2014,21,4.794240578475285
2014,211,8.425846302912857
2014,212,3.8283591815456797
2014,213,2.0623749252800376
2014,22,5.4111026395091315
2014,23,1.8242459828717097
2014,31-33,2.626896116093107
2014,33,2.186977163948273
2014,321,1.988051647716323
2014,327,2.3763074560982633
2014,331,2.4567801810093575
2014,332,1.8166041926974872
2014,333,2.114101014348032
2014,334,2.233587935587704
2014,335,2.2050294058000404
2014,3361,2.552557584161467
2014,3364,2.299981817280196
2014,337,1.650654181631606
2014,339,2.29557964502359
2014,31-33,3.4979191325264405
2014,311,3.0597441917150956
2014,313,1.8307313064913722
2014,315,1.4911251504211793
2014,322,2.3305533872889366
2014,323,1.8207305126650184
2014,324,12.999175665649988
2014,325,4.363538795844817
2014,326,1.9627463594362244
2014,42,2.586833991427736
2014,44-45,2.1370852256902944
2014,48-49,2.1537251956284873
2014,481,2.996970403169424
2014,482,2.4075459245407544
2014,483,2.8325166258312917
2014,484,2.0306945988478695
2014,485,2.6246923176577277
2014,486,5.441638102110771
2014,487,1.6374352416551905
2014,493,1.455472985320095
2014,51,3.3301576885522617
2014,511,2.383666622812788
2014,512,3.1034808215040774
2014,513,4.226837438000558
2014,514,3.5393983998480567
2014,52,2.2035490210900295
2014,521,2.8855764368784764
2014,523,1.1815137550476644
2014,524,2.4486472605326366
2014,525,28.8876404494382
2014,53,20.74611024112384
2014,531,25.734705014200493
2014,532,6.66519638731359
2014,54,1.7207097635931239
2014,5411,2.241532542672804
2014,5415,1.412155453015234
2014,5412,1.733477898695562
2014,55,1.3495572709728687
2014,56,1.6374811095865291
2014,561,1.6009705278517739
2014,562,2.1353877475476586
2014,61,1.623092164773788
2014,62,1.4984374482108782
2014,621,1.5740258670189071
2014,622,1.4478365860417244
2014,624,1.3670340448597167
2014,71,2.29253952090001
2014,711,2.622552108862591
2014,713,1.9358809433724302
2014,72,1.8479638242133458
2014,721,2.2599826183139764
2014,722,1.7229051458280376
2014,81,1.601568447330705
2015,11,4.467939604882592
2015,111,6.498985801217039
2015,113,1.9260996743749654
2015,21,3.3502354868434523
2015,211,4.857138471928048
2015,212,3.3677332435163354
2015,213,1.743504590740379
2015,22,5.209742848686387
2015,23,1.825381982658762
2015,31-33,2.6385563216681844
2015,33,2.216441762360999
2015,321,1.9647393250272167
2015,327,2.460877003421574
2015,331,2.3374713001517686
2015,332,1.8400574389710933
2015,333,1.9831950261439608
2015,334,2.302543518893358
2015,335,2.5383357268230413
2015,3361,2.615070991738493
2015,3364,2.4133264262125236
2015,337,1.752315093205051
2015,339,2.1868090486053204
2015,31-33,3.4642744647029953
2015,311,3.1608415255670153
2015,313,1.7977347900170393
2015,315,1.4518496330687434
2015,322,2.395535570900915
2015,323,1.8395626515394117
2015,324,11.489962061334177
2015,325,4.244337373969128
2015,326,2.1919941735062607
2015,42,2.6055020563747617
2015,44-45,2.117334855482331
2015,48-49,2.182352532802629
2015,481,3.1592891847636433
2015,482,2.366000854518265
2015,483,2.708747855917667
2015,484,2.0415490835365353
2015,485,2.580698428230689
2015,486,6.154489215850193
2015,487,1.6558243576583065
2015,493,1.4086187725435957
2015,51,3.3955379506321672
2015,511,2.2638378438578908
2015,512,3.103787959321073
2015,513,4.6540225867755955
2015,514,3.4941193433438382
2015,52,2.2302992620711093
2015,521,2.778626748524624
2015,523,1.1780932359064376
2015,524,2.6082255361614792
2015,525,18.382010582010583
2015,53,20.35581681056547
2015,531,24.836817700203934
2015,532,6.995380434782609
2015,54,1.7074648370584296
2015,5411,2.285589753905988
2015,5415,1.3804210312016791
2015,5412,1.7223232156684316
2015,55,1.3368358773200353
2015,56,1.5990483405141802
2015,561,1.5632122247122533
2015,562,2.091909356852814
2015,61,1.6191182998557319
2015,62,1.4933030705284864
2015,621,1.5626478229544942
2015,622,1.450513503802623
2015,624,1.3549775697996396
2015,71,2.2254583937239745
2015,711,2.4828170377541143
2015,713,1.94351630867144
2015,72,1.8886158215231699
2015,721,2.3622825434913017
2015,722,1.7490410450399492
2015,81,1.5875105409963675
2016,11,3.850284314178725
2016,111,5.467439524566837
2016,113,1.8552251135894258
2016,21,3.4486483921481788
2016,211,4.861182248728293
2016,212,3.520559149379136
2016,213,1.5098269700959188
2016,22,5.181594944534121
2016,23,1.832840904629157
2016,31-33,2.5796645277330374
2016,33,2.2077272930282414
2016,321,2.0605441382531526
2016,327,2.481932918395574
2016,331,2.311213280169257
2016,332,1.8493574307368634
2016,333,1.9525719101734544
2016,334,2.215736418710895
2016,335,2.308154472508795
2016,3361,2.672301309968499
2016,3364,2.4233284289684485
2016,337,1.736884399035702
2016,339,2.347213273195876
2016,31-33,3.3022824479643083
2016,311,3.057562364048688
2016,313,1.8341156496554478
2016,315,1.4565843309592363
2016,322,2.359359844810863
2016,323,1.8561072852482783
2016,324,6.73979227780861
2016,325,4.631314048514723
2016,326,2.1537672157709964
2016,42,2.568688452527157
2016,44-45,2.1287230407469635
2016,48-49,2.17517257875833
2016,481,3.10635685046954
2016,482,2.3954991620780466
2016,483,2.4253018561903046
2016,484,2.0352339121273073
2016,485,2.4729760942372097
2016,486,6.487315536395291
2016,487,1.6522899795684012
2016,493,1.440042693672897
2016,51,3.4494688998283096
2016,511,2.249963972446127
2016,512,3.1396829652468248
2016,513,4.777229951338721
2016,514,3.6404118548417235
2016,52,2.330950112233087
2016,521,2.8392364522711815
2016,523,1.36238553148553
2016,524,2.6407029132321242
2016,525,13.651570489408327
2016,53,20.545434276371203
2016,531,24.79778032912361
2016,532,7.426002766251729
2016,54,1.7018614053805945
2016,5411,2.337719257519059
2016,5415,1.3972704509809317
2016,5412,1.697688558312982
2016,55,1.3392501393012801
2016,56,1.5939865696825977
2016,561,1.5617543752481597
2016,562,2.0442870552094887
2016,61,1.6269499233250488
2016,62,1.5046262057834796
2016,621,1.5818608737173203
2016,622,1.4559109298075579
2016,624,1.3558577975407233
2016,71,2.25029084622661
2016,711,2.525241031158191
2016,713,1.9457366117463737
2016,72,1.865185917264571
2016,721,2.3261962904820046
2016,722,1.734587066807221
2016,81,1.5764493924890994
2017,11,3.901676644061057
2017,111,5.55325138778747
2017,113,1.8240810015462119
2017,21,4.281462385751113
2017,211,7.27034677990092
2017,212,3.9482166631630577
2017,213,1.6742114883521955
2017,22,5.117114143797752
2017,23,1.82493315309257
2017,31-33,2.5798128697831393
2017,33,2.1924976819884696
2017,321,2.073304218033059
2017,327,2.52346883917125
2017,331,2.3063190039934227
2017,332,1.8310019877788413
2017,333,1.9766868765890866
2017,334,2.207328422480559
2017,335,2.262609483539716
2017,3361,2.614067653347034
2017,3364,2.405949562205025
2017,337,1.638192339487462
2017,339,2.3131194140695026
2017,31-33,3.337351670929599
2017,311,2.901191165070804
2017,313,1.7605729877216916
2017,315,1.462637874786391
2017,322,2.2074053340797315
2017,323,1.830114075353361
2017,324,10.120483795937355
2017,325,4.527295238335881
2017,326,1.996832835513441
2017,42,2.543996169302822
2017,44-45,2.122239437143881
2017,48-49,2.1382807463743356
2017,481,3.001574059499449
2017,482,2.4630438685738225
2017,483,2.312045414227426
2017,484,2.047128728455626
2017,485,2.4212554182051695
2017,486,6.389827856025039
2017,487,1.609925996524079
2017,493,1.4038288288288288
2017,51,3.351290632249807
2017,511,2.1624262760087865
2017,512,3.144689997984819
2017,513,4.757902075400869
2017,514,3.5546484152204023
2017,52,2.26360798356975
2017,521,2.791660162086699
2017,523,1.4277168634847355
2017,524,2.443752806148025
2017,525,12.668922729836435
2017,53,20.1869940762336
2017,531,24.355064743484675
2017,532,7.211187651486159
2017,54,1.6946402999468368
2017,5411,2.3091346842331375
2017,5415,1.3913218573007617
2017,5412,1.69880810766683
2017,55,1.3377162430970966
2017,56,1.625751091514287
2017,561,1.588831854662234
2017,562,2.133009438094859
2017,61,1.5813915002768744
2017,62,1.4943672547832492
2017,621,1.5732042672278492
2017,622,1.4456293848677704
2017,624,1.3378524945770065
2017,71,2.2440074265384657
2017,711,2.525277001543783
2017,713,1.9258792581294073
2017,72,1.8438411487547677
2017,721,2.315228981734085
2017,722,1.711704262694725
2017,81,1.5678567103629923
2018,11,3.99679931957563
2018,111,5.90515281636777
2018,113,1.8303383674249665
2018,21,4.6861534102981794
2018,211,8.797820922421561
2018,212,3.8991343126967473
2018,213,1.8289528981993342
2018,22,5.1783455888268515
2018,23,1.8050510016237946
2018,31-33,2.619343389529725
2018,33,2.183299534044588
2018,321,2.106320789185239
2018,327,2.4922141892428695
2018,331,2.368091647756387
2018,332,1.8232208002779546
2018,333,1.972891417873682
2018,334,2.223655735603496
2018,335,2.3152122426671524
2018,3361,2.4884953262262792
2018,3364,2.3757938045973583
2018,337,1.663164700177792
2018,339,2.3072670792260843
2018,31-33,3.4945951833145004
2018,311,2.7451953470729547
2018,313,1.6737937012424156
2018,315,1.4948107935494173
2018,322,2.3737177710008317
2018,323,1.791873813612944
2018,324,13.589693801344287
2018,325,4.651136097157597
2018,326,2.003434812691509
2018,42,2.602047065750652
2018,44-45,2.1154421509461865
2018,48-49,2.1283385555330243
2018,481,2.9987654855756736
2018,482,2.5174247567322925
2018,483,2.4602360184710106
2018,484,2.0309021230001827
2018,485,2.287720168692632
2018,486,7.163712686567164
2018,487,1.6046957852021833
2018,493,1.4060673753914275
2018,51,3.263813052221822
2018,511,2.154497018015992
2018,512,2.7186075826626586
2018,513,4.868401885175664
2018,514,3.4050817103201254
2018,52,2.3572881854859657
2018,521,2.9660479212046593
2018,523,1.4369294682252374
2018,524,2.4975212772566318
2018,525,13.854868913857677
2018,53,19.89036021181239
2018,531,23.876152643042882
2018,532,7.473169710920451
2018,54,1.6858999128152827
2018,5411,2.334173990135911
2018,5415,1.3894145276973588
2018,5412,1.685074255130776
2018,55,1.3363321115668134
2018,56,1.6194863405353013
2018,561,1.5765770234483292
2018,562,2.1939637678485777
2018,61,1.587244653539535
2018,62,1.4891750264649564
2018,621,1.5605374101218121
2018,622,1.4484131605113
2018,624,1.332158537678086
2018,71,2.236776730174876
2018,711,2.508491289580366
2018,713,1.923402552546228
2018,72,1.8305308426980798
2018,721,2.343159226935956
2018,722,1.6879448488293212
2018,81,1.5728560191653587
2019,11,3.8134513351309036
2019,111,5.695630336514315
2019,113,1.7782856625633598
2019,21,4.224140755098141
2019,211,7.48598565613491
2019,212,3.879734727713302
2019,213,1.7469246499921347
2019,22,5.262675415188522
2019,23,1.7840905911367462
2019,31-33,2.5771338800665746
2019,33,2.1719121281735467
2019,321,2.0786754699863916
2019,327,2.525284720332724
2019,331,2.301297212069089
2019,332,1.8143587203674103
2019,333,1.9618154837308626
2019,334,2.2179538637806595
2019,335,2.3103278975977557
2019,3361,2.5267844762506355
2019,3364,2.3167961997385915
2019,337,1.6651165276886892
2019,339,2.270638217965871
2019,31-33,3.3927126980029256
2019,311,2.7206434921873397
2019,313,1.6683115626511853
2019,315,1.491503687079192
2019,322,2.3864416029939184
2019,323,1.8256219694566547
2019,324,11.356131906027732
2019,325,4.582256513684013
2019,326,2.016681618698931
2019,42,2.6211537902478934
2019,44-45,2.1491503171286452
2019,48-49,2.116067577500896
2019,481,3.116795591819434
2019,482,2.4913769200909446
2019,483,2.48586543230286
2019,484,2.0444709291456347
2019,485,2.196233461798244
2019,486,7.234645669291338
2019,487,1.572931482373961
2019,493,1.3605650660089947
2019,51,3.2647845726198748
2019,511,2.158468700616449
2019,512,2.6642105582340276
2019,513,4.939694502958642
2019,514,3.4842954927030867
2019,52,2.2915381588975063
2019,521,2.8588492916453268
2019,523,1.4077559681219618
2019,524,2.416228936915842
2019,525,11.94676960585128
2019,53,19.566926562436215
2019,531,23.42312379040929
2019,532,7.400294001243852
2019,54,1.676736034713019
2019,5411,2.302144345863299
2019,5415,1.3844093330883704
2019,5412,1.6829742210189937
2019,55,1.3294207755525465
2019,56,1.6081520033285401
2019,561,1.5646494358813454
2019,562,2.1910852577355713
2019,61,1.6059439290156334
2019,62,1.4841180886083132
2019,621,1.5520603117221643
2019,622,1.4480681372907849
2019,624,1.3246772340914312
2019,71,2.212256628963471
2019,711,2.488808751885435
2019,713,1.8943823359438832
2019,72,1.8230034928139647
2019,721,2.3247591222726425
2019,722,1.682039962419539
2019,81,1.5859375268613867
